id,name,pddikti_id,province,website,ig_handle,ig_verified,secretariat_phone,status,created_at,last_ig_scraped_at,rector_name,enabled,bem_ig_handle,bem_discovery_status,updated_at
769,"UNIVERSITAS AHMAD DAHLAN ACEH",131019,Aceh,,uadaceh,1,,ig_scraped,"2026-02-20 12:37:42",,"Dr. H. Aslam Nur, M.A.",1,,discovered,"2026-02-20 12:37:42"
770,"UNIVERSITAS ISLAM ACEH",211031,Aceh,https://uiaceh.ac.id/,uiaceh_official,1,,contacted,"2026-02-20 12:37:42",,"Prof. Dr. Mujiburrahman, M.Ag.",1,,discovered,"2026-02-20 12:37:42"
771,"UNIVERSITAS MUHAMMADIYAH ACEH",131004,Aceh,"https://www. unmuha.ac.id",unmuha,1,,ig_scraped,"2026-02-20 12:37:42",,"Dr. H. Aslam Nur, M.A.",1,,discovered,"2026-02-20 12:37:42"
772,"UNIVERSITAS AL WASHLIYAH DARUSSALAM BANDA ACEH",131017,Aceh,"https://http: unadabna.ac.id",fkip_unada_banda_aceh,1,,ig_scraped,"2026-02-20 12:37:42",,"Prof. Dr. H. Darni M. Daud, M.A.",1,,no_following,"2026-02-20 12:37:42"
773,"UNIVERSITAS ISLAM NEGERI AR-RANIRY BANDA ACEH",201011,Aceh,http://www.uin.ar-raniry.ac.id,uin_arraniry_official,1,+6285121084588,got_number,"2026-02-20 12:37:42",,"Prof. Dr. H. Mujiburrahman, M.Ag.",1,,no_following,"2026-02-20 12:37:42"
774,"Universitas Indonesia",4jLeIO874_QomeEtZ7hP8xb9HyJxzPV90FJKN_R4OAPvjNKiH9XYDyPSn1KdT0MwhcnsCA==,"D.K.I. Jakarta",https://www.ui.ac.id,ui_international,1,,ig_scraped,"2026-02-21 07:59:58",,"Prof. Dr. Ir. Heri Hermansyah, S.T., M.Eng., IPU.",1,,discovered,"2026-02-21 07:59:58"
775,"Universitas Test",,,,wetest_official,1,,ig_scraped,"2026-02-22 12:23:43",,,1,,pending,"2026-03-03 01:10:41"
776,"Universitas Udayana",inCHtq4gQWAIV2CvUhIkZJ120orN0_Uu63vo2oZJZMQ1klS5nagLQEOHYuhWDOkPhV5BVA==,Bali,https://www.unud.ac.id,univ.udayana,1,,ig_scraped,"2026-02-23 03:30:32",,"Prof. Ir. Ngakan Putu Gede Suardana, M.T., Ph.D., IPU.",1,,no_following,"2026-02-23 03:30:32"
777,"Akademi Keperawatan Binalita Sudama",m6299gRKDUMinlehYWP50x8meAOO5LmU3EFE2Ha9bRJf6tqkuQNurj1jC8HW6EkPBAKVWg==,"Sumatera Utara",https://akperbinalitasudama.ac.id/,,0,,pending,2026-02-23T04:13:24.978989+00:00,,"Ns. Arya Handoko, S.Kep., M.Kep.",1,,pending,2026-02-23T04:13:24.978989+00:00
778,"Sekolah Tinggi Ekonomi dan Bisnis Islam Persatuan Ummat Islam Bogor Jawa Barat",_lOX87JxIBNkFsWwLOgHgJ4aRYSIJpcxpdcC9z6DiTUYdnkonrHfesTP9lvXovQYnDjYNw==,"Jawa Barat",,,0,,pending,2026-02-23T04:13:24.978989+00:00,,"Dr. H. Suherman, M.Pd.",1,,pending,2026-02-23T04:13:24.978989+00:00
