id,university_id,ig_handle,relation_type,source,confidence,posts_scraped,discovered_at
1,769,kemahasiswaan_uad,kemahasiswaan,serper_search,0.6,1,"2026-02-24 06:40:04"
2,770,alumni_dan_mahasiswa_uia,alumni,serper_search,0.65,1,"2026-02-24 06:40:17"
3,771,pmb_uma,pmb,serper_search,0.65,1,"2026-02-24 06:40:30"
4,771,antiguosalumnosuma,alumni,serper_search,0.65,1,"2026-02-24 06:40:30"
5,774,ui.dita,alumni,serper_search,0.6,1,"2026-02-24 06:41:07"
6,788,bem_stdiis,bem,serper_search,0.65,1,"2026-02-24 06:42:21"
8,789,ika_pnb,alumni,serper_search,0.65,1,"2026-02-24 06:42:33"
9,789,alumni_pnbjogja,alumni,serper_search,0.65,1,"2026-02-24 06:42:33"
12,791,bem.uki_toraja,bem,serper_search,0.65,1,"2026-02-24 06:42:58"
13,791,kemahasiswaanukitoraja,kemahasiswaan,serper_search,0.65,1,"2026-02-24 06:42:58"
14,791,kemahasiswaanukip,kemahasiswaan,serper_search,0.65,1,"2026-02-24 06:42:58"
15,791,ikafaked_uki,alumni,serper_search,0.65,1,"2026-02-24 06:42:58"
16,791,lppm_uki,lppm,serper_search,0.65,1,"2026-02-24 06:42:58"
21,794,pmb.umbk.bekasi,pmb,serper_search,0.7,1,"2026-02-24 06:43:34"
22,794,bem_umbk,bem,serper_search,0.65,1,"2026-02-24 06:43:34"
25,794,birohumas.umb,humas,serper_search,0.6,1,"2026-02-24 06:43:35"
26,795,bem.sim,bem,serper_search,0.65,1,"2026-02-24 06:43:45"
27,795,fasimakkah,alumni,serper_search,0.65,1,"2026-02-24 06:43:45"
30,796,bem.umj,bem,serper_search,0.95,1,"2026-02-24 06:43:57"
31,796,pmb.umj,pmb,serper_search,0.95,1,"2026-02-24 06:43:57"
32,796,pkkmb.bemumj,bem,serper_search,0.65,1,"2026-02-24 06:43:57"
33,796,kemahasiswaan.umjcampus,kemahasiswaan,serper_search,0.65,1,"2026-02-24 06:43:57"
34,796,kemahasiswaan.umj,kemahasiswaan,serper_search,0.65,1,"2026-02-24 06:43:57"
35,796,lppm_umj,lppm,serper_search,0.65,1,"2026-02-24 06:43:57"
42,802,bem_atb,bem,serper_search,0.65,1,"2026-02-24 06:44:44"
44,804,bem_sttpontianak,bem,serper_search,0.65,1,"2026-02-24 06:44:56"
45,804,noularotinsulu,alumni,serper_search,0.65,1,"2026-02-24 06:44:56"
48,806,lppm.univ_annuqayah,lppm,serper_search,0.6,1,"2026-02-24 06:45:20"
50,811,bem.upm,bem,serper_search,0.65,1,"2026-02-24 06:45:32"
51,811,humas_upm,humas,serper_search,0.65,1,"2026-02-24 06:45:32"
52,811,upmiac,alumni,serper_search,0.65,0,"2026-02-24 06:45:32"
53,811,pusatperhubunganalumniupm,alumni,serper_search,0.65,0,"2026-02-24 06:45:32"
57,812,bem.umt,bem,serper_search,0.65,0,"2026-02-24 06:45:43"
58,812,bem_umt,bem,serper_search,0.65,0,"2026-02-24 06:45:43"
59,812,bem_fkip_umt,bem,serper_search,0.65,0,"2026-02-24 06:45:43"
60,812,pusatalumniumt,alumni,serper_search,0.65,0,"2026-02-24 06:45:43"
61,812,persatuanalumniumt,alumni,serper_search,0.65,0,"2026-02-24 06:45:43"
62,812,alumni_metropolitan,alumni,serper_search,0.65,0,"2026-02-24 06:45:43"
63,812,lppm_umt,lppm,serper_search,0.65,0,"2026-02-24 06:45:43"
64,812,bemumt,bem,serper_search,0.725,0,"2026-02-24 06:45:44"
67,812,didimuhtadi25,humas,serper_search,0.65,0,"2026-02-24 06:45:44"
72,822,bem.ppm,bem,serper_search,0.65,0,"2026-02-24 06:46:34"
73,822,kemahasiswaanppm,kemahasiswaan,serper_search,0.65,0,"2026-02-24 06:46:34"
74,822,ika_ppm,alumni,serper_search,0.65,0,"2026-02-24 06:46:34"
75,822,lppm_telkomunivpwt,lppm,serper_search,0.65,0,"2026-02-24 06:46:34"
76,834,lppm_ici,lppm,serper_search,0.65,0,"2026-02-24 06:47:24"
77,849,bem.uim,bem,serper_search,0.65,0,"2026-02-24 10:40:43"
